,,,,,,
,Language,Voice type,Language code,Voice name,SSML Gender,Sample
,Norwegian (Norway),Premium,nb-NO,nb-NO-Wavenet-A,FEMALE,
,Norwegian (Norway),Premium,nb-NO,nb-NO-Wavenet-B,MALE,
,Norwegian (Norway),Premium,nb-NO,nb-NO-Wavenet-C,FEMALE,
,Norwegian (Norway),Premium,nb-NO,nb-NO-Wavenet-D,MALE,
,Norwegian (Norway),Premium,nb-NO,nb-NO-Wavenet-E,FEMALE,
,Polish (Poland),Standard,pl-PL,pl-PL-Standard-A,FEMALE,
,Polish (Poland),Standard,pl-PL,pl-PL-Standard-B,MALE,
,Polish (Poland),Standard,pl-PL,pl-PL-Standard-C,MALE,
,Polish (Poland),Standard,pl-PL,pl-PL-Standard-D,FEMALE,
,Polish (Poland),Standard,pl-PL,pl-PL-Standard-E,FEMALE,
,Polish (Poland),Standard,pl-PL,pl-PL-Standard-F,FEMALE,
,Polish (Poland),Standard,pl-PL,pl-PL-Standard-G,MALE,
,Polish (Poland),Premium,pl-PL,pl-PL-Wavenet-A,FEMALE,
,Polish (Poland),Premium,pl-PL,pl-PL-Wavenet-B,MALE,
,Polish (Poland),Premium,pl-PL,pl-PL-Wavenet-C,MALE,
,Polish (Poland),Premium,pl-PL,pl-PL-Wavenet-D,FEMALE,
,Polish (Poland),Premium,pl-PL,pl-PL-Wavenet-E,FEMALE,
,Portuguese (Brazil),Premium,pt-BR,pt-BR-Neural2-A,FEMALE,
,Portuguese (Brazil),Premium,pt-BR,pt-BR-Neural2-B,MALE,
,Portuguese (Brazil),Premium,pt-BR,pt-BR-Neural2-C,FEMALE,
,Portuguese (Brazil),Standard,pt-BR,pt-BR-Standard-A,FEMALE,
,Portuguese (Brazil),Standard,pt-BR,pt-BR-Standard-B,MALE,
,Portuguese (Brazil),Standard,pt-BR,pt-BR-Standard-C,FEMALE,
,Portuguese (Brazil),Standard,pt-BR,pt-BR-Standard-D,FEMALE,
,Portuguese (Brazil),Standard,pt-BR,pt-BR-Standard-E,MALE,
,Portuguese (Brazil),Premium,pt-BR,pt-BR-Wavenet-A,FEMALE,
,Portuguese (Brazil),Premium,pt-BR,pt-BR-Wavenet-B,MALE,
,Portuguese (Brazil),Premium,pt-BR,pt-BR-Wavenet-C,FEMALE,
,Portuguese (Brazil),Premium,pt-BR,pt-BR-Wavenet-D,FEMALE,
,Portuguese (Brazil),Premium,pt-BR,pt-BR-Wavenet-E,MALE,
,Portuguese (Portugal),Standard,pt-PT,pt-PT-Standard-A,FEMALE,
,Portuguese (Portugal),Standard,pt-PT,pt-PT-Standard-B,MALE,
,Portuguese (Portugal),Standard,pt-PT,pt-PT-Standard-C,MALE,
,Portuguese (Portugal),Standard,pt-PT,pt-PT-Standard-D,FEMALE,
,Portuguese (Portugal),Standard,pt-PT,pt-PT-Standard-E,FEMALE,
,Portuguese (Portugal),Standard,pt-PT,pt-PT-Standard-F,MALE,
,Portuguese (Portugal),Premium,pt-PT,pt-PT-Wavenet-A,FEMALE,
,Portuguese (Portugal),Premium,pt-PT,pt-PT-Wavenet-B,MALE,
,Portuguese (Portugal),Premium,pt-PT,pt-PT-Wavenet-C,MALE,
,Portuguese (Portugal),Premium,pt-PT,pt-PT-Wavenet-D,FEMALE,
,Punjabi (India),Standard,pa-IN,pa-IN-Standard-A,FEMALE,
,Punjabi (India),Standard,pa-IN,pa-IN-Standard-B,MALE,
,Punjabi (India),Standard,pa-IN,pa-IN-Standard-C,FEMALE,
,Punjabi (India),Standard,pa-IN,pa-IN-Standard-D,MALE,
,Punjabi (India),Premium,pa-IN,pa-IN-Wavenet-A,FEMALE,
,Punjabi (India),Premium,pa-IN,pa-IN-Wavenet-B,MALE,
,Punjabi (India),Premium,pa-IN,pa-IN-Wavenet-C,FEMALE,
,Punjabi (India),Premium,pa-IN,pa-IN-Wavenet-D,MALE,
,Romanian (Romania),Standard,ro-RO,ro-RO-Standard-A,FEMALE,
,Romanian (Romania),Standard,ro-RO,ro-RO-Standard-B,FEMALE,
,Romanian (Romania),Premium,ro-RO,ro-RO-Wavenet-A,FEMALE,
,Russian (Russia),Standard,ru-RU,ru-RU-Standard-A,FEMALE,
,Russian (Russia),Standard,ru-RU,ru-RU-Standard-B,MALE,
,Russian (Russia),Standard,ru-RU,ru-RU-Standard-C,FEMALE,
,Russian (Russia),Standard,ru-RU,ru-RU-Standard-D,MALE,
,Russian (Russia),Standard,ru-RU,ru-RU-Standard-E,FEMALE,
,Russian (Russia),Premium,ru-RU,ru-RU-Wavenet-A,FEMALE,
,Russian (Russia),Premium,ru-RU,ru-RU-Wavenet-B,MALE,
,Russian (Russia),Premium,ru-RU,ru-RU-Wavenet-C,FEMALE,
,Russian (Russia),Premium,ru-RU,ru-RU-Wavenet-D,MALE,
,Russian (Russia),Premium,ru-RU,ru-RU-Wavenet-E,FEMALE,
,Serbian (Cyrillic),Standard,sr-RS,sr-RS-Standard-A,FEMALE,
,Slovak (Slovakia),Standard,sk-SK,sk-SK-Standard-A,FEMALE,
,Slovak (Slovakia),Standard,sk-SK,sk-SK-Standard-B,FEMALE,
,Slovak (Slovakia),Premium,sk-SK,sk-SK-Wavenet-A,FEMALE,
,Spanish (Spain),Premium,es-ES,es-ES-Journey-D,MALE,
,Spanish (Spain),Premium,es-ES,es-ES-Journey-F,FEMALE,
,Spanish (Spain),Premium,es-ES,es-ES-Journey-O,FEMALE,
,Spanish (Spain),Premium,es-ES,es-ES-Neural2-A,FEMALE,
,Spanish (Spain),Premium,es-ES,es-ES-Neural2-B,MALE,
,Spanish (Spain),Premium,es-ES,es-ES-Neural2-C,FEMALE,
,Spanish (Spain),Premium,es-ES,es-ES-Neural2-D,FEMALE,
,Spanish (Spain),Premium,es-ES,es-ES-Neural2-E,FEMALE,
,Spanish (Spain),Premium,es-ES,es-ES-Neural2-F,MALE,
,Spanish (Spain),Premium,es-ES,es-ES-Polyglot-1,MALE,
,Spanish (Spain),Standard,es-ES,es-ES-Standard-A,FEMALE,
,Spanish (Spain),Standard,es-ES,es-ES-Standard-B,MALE,
,Spanish (Spain),Standard,es-ES,es-ES-Standard-C,FEMALE,
,Spanish (Spain),Standard,es-ES,es-ES-Standard-D,FEMALE,
,Spanish (Spain),Standard,es-ES,es-ES-Standard-E,MALE,
,Spanish (Spain),Standard,es-ES,es-ES-Standard-F,FEMALE,
,Spanish (Spain),Studio,es-ES,es-ES-Studio-C,FEMALE,
,Spanish (Spain),Studio,es-ES,es-ES-Studio-F,MALE,
,Spanish (Spain),Premium,es-ES,es-ES-Wavenet-B,MALE,
,Spanish (Spain),Premium,es-ES,es-ES-Wavenet-C,FEMALE,
,Spanish (Spain),Premium,es-ES,es-ES-Wavenet-D,FEMALE,
,Spanish (Spain),Premium,es-ES,es-ES-Wavenet-E,MALE,
,Spanish (Spain),Premium,es-ES,es-ES-Wavenet-F,FEMALE,
,Spanish (US),Premium,es-US,es-US-Journey-D,MALE,
,Spanish (US),Premium,es-US,es-US-Journey-F,FEMALE,
,Spanish (US),Premium,es-US,es-US-Journey-O,FEMALE,
,Spanish (US),Premium,es-US,es-US-Neural2-A,FEMALE,
,Spanish (US),Premium,es-US,es-US-Neural2-B,MALE,
,Spanish (US),Premium,es-US,es-US-Neural2-C,MALE,
,Spanish (US),Premium,es-US,es-US-News-D,MALE,
,Spanish (US),Premium,es-US,es-US-News-E,MALE,
,Spanish (US),Premium,es-US,es-US-News-F,FEMALE,
,Spanish (US),Premium,es-US,es-US-News-G,FEMALE,
,Spanish (US),Premium,es-US,es-US-Polyglot-1,MALE,
,Spanish (US),Standard,es-US,es-US-Standard-A,FEMALE,
,Spanish (US),Standard,es-US,es-US-Standard-B,MALE,
,Spanish (US),Standard,es-US,es-US-Standard-C,MALE,
,Spanish (US),Studio,es-US,es-US-Studio-B,MALE,
,Spanish (US),Premium,es-US,es-US-Wavenet-A,FEMALE,
,Spanish (US),Premium,es-US,es-US-Wavenet-B,MALE,
,Spanish (US),Premium,es-US,es-US-Wavenet-C,MALE,
,Swedish (Sweden),Standard,sv-SE,sv-SE-Standard-A,FEMALE,
,Swedish (Sweden),Standard,sv-SE,sv-SE-Standard-B,FEMALE,
,Swedish (Sweden),Standard,sv-SE,sv-SE-Standard-C,FEMALE,
,Swedish (Sweden),Standard,sv-SE,sv-SE-Standard-D,MALE,
,Swedish (Sweden),Standard,sv-SE,sv-SE-Standard-E,MALE,
,Swedish (Sweden),Standard,sv-SE,sv-SE-Standard-F,FEMALE,
,Swedish (Sweden),Standard,sv-SE,sv-SE-Standard-G,MALE,
,Swedish (Sweden),Premium,sv-SE,sv-SE-Wavenet-A,FEMALE,
,Swedish (Sweden),Premium,sv-SE,sv-SE-Wavenet-B,FEMALE,
,Swedish (Sweden),Premium,sv-SE,sv-SE-Wavenet-C,MALE,
,Swedish (Sweden),Premium,sv-SE,sv-SE-Wavenet-D,FEMALE,
,Swedish (Sweden),Premium,sv-SE,sv-SE-Wavenet-E,MALE,
,Tamil (India),Standard,ta-IN,ta-IN-Standard-A,FEMALE,
,Tamil (India),Standard,ta-IN,ta-IN-Standard-B,MALE,
,Tamil (India),Standard,ta-IN,ta-IN-Standard-C,FEMALE,
,Tamil (India),Standard,ta-IN,ta-IN-Standard-D,MALE,
,Tamil (India),Premium,ta-IN,ta-IN-Wavenet-A,FEMALE,
,Tamil (India),Premium,ta-IN,ta-IN-Wavenet-B,MALE,
,Tamil (India),Premium,ta-IN,ta-IN-Wavenet-C,FEMALE,
,Tamil (India),Premium,ta-IN,ta-IN-Wavenet-D,MALE,
,Telugu (India),Standard,te-IN,te-IN-Standard-A,FEMALE,
,Telugu (India),Standard,te-IN,te-IN-Standard-B,MALE,
,Telugu (India),Standard,te-IN,te-IN-Standard-C,FEMALE,
,Telugu (India),Standard,te-IN,te-IN-Standard-D,MALE,
,Thai (Thailand),Premium,th-TH,th-TH-Neural2-C,FEMALE,
,Thai (Thailand),Standard,th-TH,th-TH-Standard-A,FEMALE,
,Turkish (Turkey),Standard,tr-TR,tr-TR-Standard-A,FEMALE,
,Turkish (Turkey),Standard,tr-TR,tr-TR-Standard-B,MALE,
,Turkish (Turkey),Standard,tr-TR,tr-TR-Standard-C,FEMALE,
,Turkish (Turkey),Standard,tr-TR,tr-TR-Standard-D,FEMALE,
,Turkish (Turkey),Standard,tr-TR,tr-TR-Standard-E,MALE,
,Turkish (Turkey),Premium,tr-TR,tr-TR-Wavenet-A,FEMALE,
,Turkish (Turkey),Premium,tr-TR,tr-TR-Wavenet-B,MALE,
,Turkish (Turkey),Premium,tr-TR,tr-TR-Wavenet-C,FEMALE,
,Turkish (Turkey),Premium,tr-TR,tr-TR-Wavenet-D,FEMALE,
,Turkish (Turkey),Premium,tr-TR,tr-TR-Wavenet-E,MALE,
,Ukrainian (Ukraine),Standard,uk-UA,uk-UA-Standard-A,FEMALE,
,Ukrainian (Ukraine),Premium,uk-UA,uk-UA-Wavenet-A,FEMALE,
,Vietnamese (Vietnam),Premium,vi-VN,vi-VN-Neural2-A,FEMALE,
,Vietnamese (Vietnam),Premium,vi-VN,vi-VN-Neural2-D,MALE,
,Vietnamese (Vietnam),Standard,vi-VN,vi-VN-Standard-A,FEMALE,
,Vietnamese (Vietnam),Standard,vi-VN,vi-VN-Standard-B,MALE,
,Vietnamese (Vietnam),Standard,vi-VN,vi-VN-Standard-C,FEMALE,
,Vietnamese (Vietnam),Standard,vi-VN,vi-VN-Standard-D,MALE,
,Vietnamese (Vietnam),Premium,vi-VN,vi-VN-Wavenet-A,FEMALE,
,Vietnamese (Vietnam),Premium,vi-VN,vi-VN-Wavenet-B,MALE,
,Vietnamese (Vietnam),Premium,vi-VN,vi-VN-Wavenet-C,FEMALE,
,Vietnamese (Vietnam),Premium,vi-VN,vi-VN-Wavenet-D,MALE,
